collectedAt,content.published_date,content.text,content.title,recordType,schemaVersion,source.name,source.url
2026-08-12T11:34:49.187160+00:00,2026-08-12T11:00:00+00:00,Blacksmith says revenue has grown more than tenfold over the past year.,AI code-testing startup Blacksmith’s valuation jumps almost 10x in less than a year,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/12/blacksmiths-valuation-jumps-10x-to-550m-as-ai-coding-fuels-software-validation/
2026-08-12T11:34:49.187201+00:00,2026-08-11T21:39:11+00:00,The U.S. VC firm still has more than 55% of its previous $650 million India fund available for deployment.,"Accel closes oversubscribed $550M India fund within weeks, 19 months after its last",NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/accel-closes-oversubscribed-550m-india-fund-within-weeks-19-months-after-its-last/
2026-08-12T11:34:49.187232+00:00,2026-08-11T19:15:35+00:00,OpenAI is finally bringing a dedicated ChatGPT desktop app to Linux operating systems.,OpenAI launches ChatGPT desktop app for Linux,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/openai-launches-chatgpt-desktop-app-for-linux/
2026-08-12T11:34:49.187259+00:00,2026-08-11T18:49:12+00:00,"Google also shared numbers of how people are actually using the chatbot, with 63% of Gemini users talking directly to the assistant using the voice feature. Plus, Gemini now generates more than 150 million images every day, according to Google.",Google’s Gemini app surges to 1 billion users,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/googles-gemini-app-surges-to-one-billion-users/
2026-08-12T11:34:49.187287+00:00,2026-08-11T17:41:34+00:00,"One of OpenAI's longest-serving executives is headed out the door, although the longtime COO told staff that he was ""excited to help you all advance the mission from a different vantage point.""","Brad Lightcap, OpenAI’s longtime COO, is leaving to ‘start something new’",NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/brad-lightcap-openais-longtime-coo-is-leaving-to-start-something-new/
2026-08-12T11:34:49.187313+00:00,2026-08-11T17:41:22+00:00,"River AI, a startup founded by xAI co-founder Igor Babuschkin, has a fascinating vision for personal agents and secured $1.1 billion out of the gate.",General Catalyst leads $1.1B round into 2-month-old River AI,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/general-catalyst-leads-1-1b-round-into-2-month-old-river-ai/
2026-08-12T11:34:49.187343+00:00,2026-08-11T16:25:20+00:00,"For more than 150 years, the Riemann hypothesis has stood as one of the major unsolved problems in mathematics. Anthropic hasn't solved it — but the company's models made more progress than you might expect.",An unreleased Anthropic model made progress on one of math’s biggest unsolved problems,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/an-unreleased-anthropic-model-made-progress-on-one-of-maths-biggest-unsolved-problems/
2026-08-12T11:34:49.187371+00:00,2026-08-11T13:00:00+00:00,"Spotify is introducing “AI Persona” labels for artist profiles that represent AI-generated identities and will exclude their music from editorial, algorithmic, and personalized recommendations by default.",Spotify will label ‘AI Persona’ profiles and exclude their music from recommendations,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/spotify-will-label-ai-persona-profiles-and-exclude-their-music-from-recommendations/
2026-08-12T11:34:49.187399+00:00,2026-08-11T12:13:47+00:00,Anthropic will extend support for watermarking AI generations for older models as well.,Anthropic says it will watermark text generated by its AI models,NEWS,1.0,TechCrunch AI,https://techcrunch.com/2026/08/11/anthropic-says-it-will-watermark-text-generated-by-its-ai-models/
2026-08-12T11:34:49.366573+00:00,2026-08-12T06:59:40+00:00,"NVIDIA's open 30B MoE targets the agent execution layer, with Switchyard routing each step to the cheapest capable model.
The post NVIDIA AI Releases Nemotron 3.5 Lightning: A 30B Open MoE with 3B Active Parameters, and NeMo Switchyard Model Router appeared first on MarkTechPost.","NVIDIA AI Releases Nemotron 3.5 Lightning: A 30B Open MoE with 3B Active Parameters, and NeMo Switchyard Model Router",NEWS,1.0,MarkTechPost,https://www.marktechpost.com/2026/08/11/nvidia-ai-releases-nemotron-3-5-lightning-and-nemo-switchyard/
